,media_list,positive,negative,compound,date_created,tweets_ago
71,BBC,0.0,0.144,-0.4939,2018-09-03 13:11:02+00:00,-71
72,BBC,0.0,0.206,-0.3818,2018-09-03 11:57:08+00:00,-72
73,BBC,0.0,0.2,-0.5423,2018-09-03 11:01:04+00:00,-73
74,BBC,0.0,0.18,-0.5267,2018-09-03 10:37:21+00:00,-74
75,BBC,0.178,0.102,0.2023,2018-09-03 08:10:05+00:00,-75
76,BBC,0.274,0.0,0.7684,2018-09-03 08:00:10+00:00,-76
77,BBC,0.0,0.171,-0.5719,2018-09-03 07:24:03+00:00,-77
78,BBC,0.0,0.107,-0.0516,2018-09-03 07:17:57+00:00,-78
79,BBC,0.0,0.163,-0.5423,2018-09-03 07:00:16+00:00,-79
80,BBC,0.412,0.0,0.5994,2018-09-02 20:11:42+00:00,-80
81,BBC,0.0,0.0,0.0,2018-09-02 19:47:44+00:00,-81
82,BBC,0.198,0.0,0.5719,2018-09-02 18:08:04+00:00,-82
83,BBC,0.0,0.0,0.0,2018-09-02 17:06:04+00:00,-83
84,BBC,0.112,0.092,0.128,2018-09-02 16:05:04+00:00,-84
85,BBC,0.0,0.0,0.0,2018-09-02 15:24:46+00:00,-85
86,BBC,0.0,0.16,-0.2263,2018-09-02 15:12:01+00:00,-86
87,BBC,0.29,0.161,0.5106,2018-09-02 14:06:08+00:00,-87
88,BBC,0.056,0.0,0.0772,2018-09-02 14:03:02+00:00,-88
89,BBC,0.0,0.0,0.0,2018-09-02 13:03:02+00:00,-89
90,BBC,0.0,0.175,-0.3818,2018-09-02 12:25:11+00:00,-90
91,BBC,0.0,0.0,0.0,2018-09-02 12:24:18+00:00,-91
92,BBC,0.27,0.0,0.743,2018-09-02 11:34:00+00:00,-92
93,BBC,0.288,0.0,0.7684,2018-09-02 11:03:19+00:00,-93
94,BBC,0.0,0.0,0.0,2018-09-02 10:20:05+00:00,-94
95,BBC,0.0,0.107,-0.0516,2018-09-02 10:07:06+00:00,-95
96,BBC,0.0,0.0,0.0,2018-09-02 09:09:03+00:00,-96
97,BBC,0.0,0.18,-0.296,2018-09-02 08:11:03+00:00,-97
98,BBC,0.0,0.0,0.0,2018-09-02 07:05:06+00:00,-98
99,BBC,0.324,0.0,0.802,2018-09-01 19:55:23+00:00,-99
0,CBS,0.0,0.0,0.0,2018-09-08 00:00:00+00:00,0
1,CBS,0.092,0.196,-0.5411,2018-09-07 23:15:09+00:00,-1
2,CBS,0.0,0.0,0.0,2018-09-07 21:50:51+00:00,-2
3,CBS,0.0,0.121,-0.296,2018-09-06 22:10:49+00:00,-3
4,CBS,0.192,0.0,0.4753,2018-09-06 19:00:01+00:00,-4
5,CBS,0.0,0.0,0.0,2018-09-05 21:00:00+00:00,-5
6,CBS,0.111,0.0,0.3612,2018-09-05 17:32:40+00:00,-6
7,CBS,0.533,0.0,0.6908,2018-09-05 16:48:09+00:00,-7
8,CBS,0.135,0.0,0.4215,2018-09-04 20:34:26+00:00,-8
9,CBS,0.171,0.0,0.6514,2018-09-01 15:25:34+00:00,-9
10,CBS,0.0,0.0,0.0,2018-08-31 21:26:49+00:00,-10
11,CBS,0.0,0.0,0.0,2018-08-31 18:01:01+00:00,-11
12,CBS,0.0,0.239,-0.6908,2018-08-30 19:45:51+00:00,-12
13,CBS,0.17,0.0,0.6239,2018-08-30 15:32:47+00:00,-13
14,CBS,0.0,0.0,0.0,2018-08-27 23:36:57+00:00,-14
15,CBS,0.0,0.121,-0.4389,2018-08-24 20:30:16+00:00,-15
16,CBS,0.0,0.0,0.0,2018-08-22 20:55:25+00:00,-16
17,CBS,0.0,0.0,0.0,2018-08-22 20:10:12+00:00,-17
18,CBS,0.171,0.0,0.5423,2018-08-20 21:59:56+00:00,-18
19,CBS,0.113,0.0,0.3182,2018-08-17 17:42:02+00:00,-19
20,CBS,0.0,0.0,0.0,2018-08-16 18:40:09+00:00,-20
21,CBS,0.092,0.188,-0.5267,2018-08-16 00:09:03+00:00,-21
22,CBS,0.0,0.0,0.0,2018-08-12 23:30:02+00:00,-22
23,CBS,0.126,0.0,0.4389,2018-08-12 15:04:59+00:00,-23
24,CBS,0.0,0.103,-0.3182,2018-08-11 18:00:00+00:00,-24
25,CBS,0.144,0.0,0.4926,2018-08-11 15:00:02+00:00,-25
26,CBS,0.419,0.0,0.8957,2018-08-10 22:28:55+00:00,-26
27,CBS,0.0,0.0,0.0,2018-08-10 19:59:14+00:00,-27
28,CBS,0.255,0.0,0.6696,2018-08-09 21:00:00+00:00,-28
29,CBS,0.28,0.0,0.7901,2018-08-09 18:47:00+00:00,-29
30,CBS,0.209,0.0,0.6696,2018-08-08 16:05:11+00:00,-30
31,CBS,0.0,0.0,0.0,2018-08-07 16:06:57+00:00,-31
32,CBS,0.111,0.0,0.3612,2018-08-06 00:20:55+00:00,-32
33,CBS,0.219,0.098,0.5411,2018-08-06 00:07:38+00:00,-33
34,CBS,0.106,0.0,0.3818,2018-08-06 00:02:58+00:00,-34
35,CBS,0.155,0.0,0.5093,2018-08-06 00:02:02+00:00,-35
36,CBS,0.0,0.0,0.0,2018-08-05 23:58:41+00:00,-36
37,CBS,0.306,0.0,0.8316,2018-08-05 23:44:39+00:00,-37
38,CBS,0.0,0.0,0.0,2018-08-05 23:41:21+00:00,-38
39,CBS,0.157,0.0,0.5994,2018-08-05 23:35:49+00:00,-39
40,CBS,0.0,0.0,0.0,2018-08-05 23:35:46+00:00,-40
